CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,County
15737173,Andrews,474.6379546538046,Spain,Male,38,3,68990.68201357432,2,True,False,42856.31616862948,True,False,3,GOLD,578.6826073812067,Madrid
15597945,Dellucci,522.6504610043696,Spain,Female,37,8,55484.61504651951,2,True,False,41939.810697722125,True,False,2,DIAMOND,590.0888914980401,Bilbao
15625047,Yen,550.8254966702135,France,Female,37,5,55645.82027029841,1,True,True,37326.07859683381,True,False,3,PLATINUM,682.83150416581,Toulouse
15736816,Young,432.4426518899841,Germany,Male,46,2,56115.165311894576,1,True,True,48513.33402729217,True,False,5,DIAMOND,563.3607713270468,Munich
15656300,Lucciano,479.488591860254,France,Male,34,0,61464.23964100072,2,True,True,60931.565905716,True,False,2,GOLD,610.2437640671506,Toulouse
15706552,Odinakachukwu,458.54978923581376,France,Male,34,7,76405.57416466589,1,False,True,58053.501731315526,True,False,5,SILVER,528.4281771181456,Marseille
15750181,Sanderson,501.2126437506328,Germany,Male,38,9,60174.6806849581,2,False,False,64532.64390296127,True,False,3,GOLD,643.4807099940411,Hamburg
15732963,Clements,532.6534966580433,Spain,Female,46,9,88729.1259480558,2,True,True,54086.438765815765,True,False,5,PLATINUM,556.4512011253478,Valencia
15717426,Armstrong,575.9029605312917,France,Male,47,7,73384.64602242855,1,True,True,29397.046688561517,True,False,3,GOLD,604.9973607668404,Paris
15585768,Cameron,489.03873799308815,Germany,Male,46,6,76050.88059942119,2,False,True,17260.94665761027,True,False,5,GOLD,594.9408725378886,Munich
15687946,Osborne,511.2781131179187,France,Female,45,2,58570.41327645522,1,True,True,32035.884982327905,True,False,3,PLATINUM,641.5735473427263,Marseille
15755196,Lavine,443.9534178349888,France,Female,39,2,91740.3138321788,1,False,False,969.094957086134,True,True,2,GOLD,633.417718919454,Paris
15602280,Martin,485.142207892386,Germany,Female,34,9,47164.41834027744,1,True,True,31887.85467391254,True,True,3,DIAMOND,627.7919328116558,Berlin
